Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
4266,14300,49200,0.18,654,0,64,1,0,0,2,2,1,92.3,0,0,1,78044
4267,9400,54000,0.12,740,0,240,1,0,1,2,3,0,73.5,0,0,1,71341
4268,9100,52300,0.11,746,0,0,1,0,0,2,2,1,47.4,0,1,0,16279
4269,13600,36600,0.18,794,0,0,1,0,0,1,4,0,94.3,0,0,0,33037
4270,27300,144600,0.47,1760,370,120,1,1,1,3,4,1,36.2,440,0,0,120000
4271,18500,73300,0.32,972,0,144,1,0,0,2,3,1,54.3,352,0,0,107250
4272,25700,92200,0.43,1192,400,0,1,0,0,3,2,1,54.5,0,0,1,96928
4273,22400,135300,0.18,1152,864,0,1,0,0,3,2,1,47.7,0,0,1,141591
4274,21100,50700,0.23,831,0,0,1,0,0,2,2,0,86.6,0,0,1,60818
4275,16100,61500,0.17,736,0,120,1,0,0,2,3,1,46.7,0,0,1,76022
4276,16200,43600,0.17,624,0,0,1,0,0,2,2,1,85.6,0,0,1,57017
4277,16200,28000,0.17,624,0,0,1,0,0,2,2,0,99.2,0,1,0,60000
4278,19000,60600,0.17,768,0,200,1,0,0,2,2,1,53.6,0,0,1,84099
4279,19000,45000,0.17,600,0,0,1,0,0,2,2,0,61.2,0,0,1,48500
4280,16200,81800,0.15,853,0,110,1,0,0,3,2,1,28.6,0,0,1,105956
4281,16300,49800,0.15,720,0,0,1,0,0,2,2,1,83.3,0,0,1,60328
4282,16300,109300,0.15,1034,0,155,1,0,0,3,2,1,5.6,0,0,0,120590
4283,16300,40600,0.15,840,0,0,1,0,0,3,2,1,40.7,0,1,0,19196
4284,16400,98400,0.15,928,0,0,1,0,0,3,2,1,7.4,0,0,0,113954
4285,15700,100000,0.23,910,0,100,1,0,0,3,2,1,9.4,0,0,0,114911
4286,23200,95600,0.51,1349,0,280,1,0,0,4,3,0,61.4,0,0,1,112489
4287,18500,49800,0.24,732,0,0,1,0,0,1,2,0,85.2,0,0,1,87500
4288,10800,39000,0.14,720,0,0,1,0,0,2,3,1,52.8,0,1,0,35460
4289,13200,61400,0.2,850,0,182,1,0,0,3,2,1,52.5,0,0,1,71271
4290,13000,57800,0.14,928,0,0,1,0,0,3,2,1,92.7,0,0,1,60818
4291,15200,45400,0.16,672,0,0,1,0,0,2,2,1,87.7,0,0,1,57017
4292,22900,93900,0.2,960,0,0,1,0,1,3,2,1,49.3,0,0,1,111081
4293,20100,102900,0.28,1190,560,144,2,0,2,3,2,1,49.8,252,0,1,107381
4294,13900,64900,0.14,936,468,0,1,0,0,3,2,1,99.6,0,0,1,66519
4295,15200,76700,0.16,1036,0,0,1,0,0,3,2,1,67.6,420,0,1,92177
4296,19700,61100,0.33,770,0,0,1,0,0,2,2,1,62.8,0,0,1,85596
4297,15100,78800,0.16,768,384,192,1,0,0,2,2,1,61.5,0,0,1,96453
4298,24100,80200,0.2,754,520,184,2,0,0,3,2,1,29.3,0,0,1,100547
4299,22700,88700,0.21,1136,500,381,1,1,1,2,4,1,39.4,0,0,0,121614
4300,22000,87000,0.17,864,0,240,1,0,0,3,2,1,50.5,0,0,1,109282
4301,22000,113700,0.17,1231,380,0,1,0,0,3,4,1,47.7,0,0,1,127337
4302,40300,123000,0.19,1480,0,100,2,1,0,3,2,1,2.4,400,0,0,162695
4303,22800,137400,0.18,1352,400,0,2,1,1,3,3,1,6.1,480,0,0,152000
4304,22800,137400,0.18,1352,400,0,2,1,1,3,3,1,6.4,480,0,0,149385
4305,22700,166500,0.17,1412,475,100,2,1,0,3,2,1,6.4,441,0,0,153119
4306,16800,86200,0.15,869,400,120,1,0,0,3,2,1,38.1,0,0,1,105000
4307,25400,101500,0.26,972,630,0,1,0,0,3,2,1,29.2,0,0,0,113000
4308,16300,68300,0.28,1486,0,104,2,0,0,5,4,1,39.5,0,0,1,106431
4309,20200,94200,0.2,1002,0,0,1,0,0,3,2,1,50.5,0,0,1,99877
4310,46200,64900,0.44,1094,0,0,1,0,0,3,3,1,104.5,0,0,1,113475
4311,16300,57700,0.15,1072,0,104,1,0,1,1,3,0,99.7,0,0,0,22332
4312,16900,65100,0.15,720,0,264,1,0,0,2,2,1,56.5,0,1,0,88099
4313,18300,71100,0.19,664,0,0,1,0,0,2,2,1,58.7,0,0,1,47514
4314,16100,66800,0.15,1193,650,0,1,0,0,2,3,1,84.4,0,0,1,95759
4315,16500,27700,0.15,444,0,0,1,0,0,1,2,0,74.5,0,0,1,43092
4316,18900,67900,0.15,720,120,192,1,0,0,3,1,1,61.4,0,0,1,90876
4317,15800,64600,0.15,1474,0,180,2,0,0,4,3,0,109.2,0,0,0,87420
4318,16200,61700,0.15,902,0,0,1,0,0,2,4,1,90.4,0,0,1,73735
4319,15800,44100,0.15,768,0,0,1,0,0,2,2,0,84.7,0,1,0,47514
4320,15800,43400,0.15,768,500,40,1,0,0,2,2,0,84.7,0,1,0,47514
4321,12400,49300,0.17,945,550,158,3,0,0,1,4,0,90.6,0,0,1,77875
4322,10900,21200,0.15,648,0,0,1,0,0,2,3,1,104.4,0,1,0,14364
4323,10300,46800,0.16,1306,0,0,1,0,1,2,3,0,87.4,0,1,0,17237
4324,23100,84500,0.19,1198,0,0,1,0,0,3,2,1,57.3,0,0,0,107250
4325,16600,62800,0.15,1022,0,0,1,0,0,2,4,1,84.7,0,0,1,68943
4326,8600,54600,0.12,984,0,0,1,0,0,2,3,0,103.6,0,0,1,10453
4327,16000,70500,0.15,736,370,0,1,0,0,2,2,1,62.6,0,0,1,85525
4328,16700,58800,0.15,723,0,0,1,0,0,2,2,1,68.5,0,0,0,57456
4329,16700,63100,0.15,719,300,0,1,0,0,2,2,1,67.6,0,0,0,68895
4330,17400,28300,0.16,740,350,0,1,0,0,2,2,0,67.6,0,1,0,43713
4331,18200,70200,0.16,667,0,0,1,0,0,2,2,1,45.3,0,0,1,84747
4332,16000,73000,0.15,1344,0,0,2,0,0,2,4,0,81.8,0,0,0,90276
4333,16100,105900,0.15,1070,70,0,2,1,0,2,2,1,9.6,528,0,0,111182
4334,17100,90200,0.19,1334,0,196,2,0,0,3,2,1,99.3,0,0,1,105335
4335,14900,81800,0.13,1496,0,0,1,0,0,3,3,0,102.7,0,0,1,99684
4336,14300,65300,0.13,1456,0,0,1,0,0,3,3,0,94.6,0,0,0,103580
4337,14300,40100,0.15,950,0,0,1,0,1,2,3,0,93.6,0,1,0,66519
4338,16600,60600,0.15,1072,0,0,1,0,0,2,3,0,91.6,0,0,0,37897
4339,16900,85900,0.16,1202,0,128,1,0,0,3,3,1,67.7,0,0,0,93365
4340,33200,91000,0.29,1136,0,0,1,0,1,3,2,1,80.6,0,0,1,122348
4341,15200,50600,0.16,925,0,0,1,0,0,2,2,0,60.7,0,0,0,46564
4342,23300,87300,0.52,948,0,240,1,0,0,2,5,1,44.4,0,0,1,86183
4343,15400,65300,0.15,704,0,0,1,0,0,2,2,1,55.6,0,0,1,73646
4344,16000,74500,0.15,1056,0,0,1,0,0,2,3,1,57.4,0,0,1,73735
4345,17500,74600,0.19,1057,0,0,1,0,0,2,3,1,51.6,336,0,0,33260
4346,20600,84100,0.29,851,664,0,1,1,0,3,2,1,50.5,0,0,1,114033
4347,14700,61600,0.15,720,550,0,1,1,0,2,2,1,59.7,0,0,1,85525
4348,19500,102400,0.18,1245,0,0,1,0,1,2,2,1,53.6,0,0,1,128287
4349,18400,53100,0.17,768,0,0,1,0,0,2,2,0,82.2,0,0,1,32500
4350,18400,53100,0.17,768,0,0,1,0,0,2,2,0,82.7,0,0,1,91227
4351,4900,100900,0.15,1816,0,0,2,0,1,4,4,0,52.7,0,0,1,90276
4352,6300,53500,0.16,1462,0,0,1,0,0,3,4,0,98.6,0,0,0,75927
4353,8600,10100,0.24,2273,0,0,3,0,0,3,7,0,114.8,0,1,0,11403
4354,11900,67700,0.15,892,300,0,1,1,2,2,3,1,69.5,0,0,1,93602
4355,15300,52200,0.15,768,0,0,1,0,0,2,2,0,72.8,0,0,1,69370
4356,6100,51200,0.15,1528,0,0,1,0,0,3,3,0,109.2,0,1,0,25000
4357,9800,49700,0.26,1064,0,0,1,0,0,2,3,0,72.7,0,0,0,66424
