Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
937,14900,45100,0.16,480,0,0,1,0,0,1,2,0,60.8,0,0,1,49093
938,17800,59200,0.16,780,0,0,1,0,0,2,3,1,85.2,0,0,1,85000
939,38200,201800,0.41,1496,1241,0,3,0,1,3,2,1,2.7,462,0,0,204273
940,17800,64400,0.16,832,0,0,1,0,0,2,2,0,88.5,0,0,0,76339
941,16700,106100,0.18,1792,0,0,1,0,0,5,3,1,93.6,0,0,1,119537
942,17600,64500,0.24,960,0,0,1,0,1,3,2,0,88.2,0,0,1,110000
943,21000,109600,0.21,928,784,93,2,1,0,3,2,1,36.7,0,0,1,130141
944,17000,59100,0.16,660,0,264,1,0,0,2,2,1,85.7,0,0,1,83868
945,14400,20500,0.15,776,0,0,1,0,0,2,3,0,108.7,0,0,0,43091
946,18800,66800,0.16,902,0,0,1,0,0,2,2,0,55.4,0,0,1,71272
947,15100,48900,0.16,768,0,72,1,0,0,2,2,1,86,0,0,1,30000
948,39600,220200,0.26,2406,0,342,2,1,3,3,3,1,85.7,0,0,1,268957
949,15100,50600,0.17,752,0,0,1,0,0,2,3,1,58.5,0,0,0,60308
950,16200,55000,0.15,1123,0,146,1,0,0,2,4,0,60.1,0,0,1,76000
951,36100,196200,0.24,1468,700,256,2,1,1,3,3,1,6.6,660,0,0,221721
952,19100,69100,0.19,1152,0,0,1,0,0,3,3,1,87.8,0,0,0,86404
953,25500,113400,0.14,1324,0,120,1,0,0,3,4,1,100.5,0,0,1,158403
954,36100,96700,0.33,1312,0,0,1,1,1,2,4,1,94.3,0,0,1,170000
955,17700,124100,0.17,1120,0,0,2,0,0,3,2,1,1.2,0,0,0,131500
956,4400,62400,0.1,1241,0,0,1,0,0,3,3,0,73.9,0,0,1,72658
957,24900,115000,0.16,1265,0,0,1,0,0,3,3,0,90.9,0,0,1,147280
958,22500,111400,0.15,1256,256,0,1,0,0,3,3,1,53.6,0,0,1,125321
959,10200,67000,0.13,720,0,80,1,0,0,2,2,1,38.1,0,0,1,86900
960,21400,84200,0.17,864,208,204,1,0,0,3,2,1,48.4,0,0,1,108688
961,36300,122500,0.61,1737,250,0,1,1,2,3,3,1,56.2,400,0,1,180000
962,21700,48900,0.31,480,0,240,1,0,0,1,3,1,38.6,0,0,0,64588
963,16200,104700,0.1,906,0,0,1,0,1,2,3,1,80.7,0,0,1,128695
964,23900,37300,0.3,1016,0,350,1,1,0,3,2,1,40.6,0,1,0,70372
965,16100,91400,0.15,1163,0,0,1,0,0,2,4,1,42.6,0,0,0,94954
966,29300,147700,0.2,2275,0,0,1,1,1,4,5,1,90.9,0,0,1,206192
967,20800,124800,0.13,1283,110,280,1,2,0,2,4,1,11.3,0,0,0,128726
968,46900,155300,0.2,1572,0,0,2,1,1,3,2,1,1.4,400,0,0,195523
969,21300,125400,0.27,992,556,684,2,0,0,3,2,1,44.4,480,0,1,146952
970,20400,100700,0.2,1320,200,0,1,1,0,3,3,1,51.2,0,0,0,93500
971,43900,198100,0.3,1569,1150,192,2,1,1,3,5,1,7.4,760,0,0,238559
972,16900,84700,0.15,864,0,100,1,0,0,3,2,1,46.4,0,0,1,120234
973,26300,95000,0.17,852,0,274,1,0,0,2,2,1,86.7,0,0,1,130044
974,27300,83000,0.15,1014,0,0,1,0,0,2,3,1,61.8,0,0,0,125679
975,33700,164700,0.21,2004,0,140,2,1,0,4,4,1,8.9,640,0,0,195392
976,28500,56000,0.25,792,0,0,1,0,0,2,3,1,77.9,0,0,0,104078
977,6100,111400,0.23,1094,0,155,2,0,0,3,2,1,1.1,0,0,0,137900
978,26500,137100,0.23,1936,0,0,2,0,1,4,4,1,42.2,0,0,1,161500
979,27800,88200,0.26,1176,0,0,1,1,0,3,2,1,50.5,336,0,1,133515
980,13200,54600,0.22,784,668,375,1,0,0,2,2,0,29.4,0,0,1,119280
981,10200,73500,0.3,1037,400,0,1,1,0,3,2,0,55.5,0,0,1,90520
982,40000,170400,0.34,2137,900,189,3,0,1,3,3,1,42.3,660,0,1,207546
983,15000,81100,0.16,868,868,0,1,1,0,2,2,1,62.9,0,0,1,91314
984,18500,110500,0.19,1183,0,0,2,1,2,4,2,1,32.2,0,0,1,126500
985,12200,58700,0.22,1131,0,0,1,0,0,3,3,0,87.9,0,0,1,67749
986,21100,107400,0.19,948,500,90,1,0,1,2,2,1,34,0,0,1,122635
987,29100,148000,0.19,1438,0,0,2,0,1,3,3,1,72.2,252,0,1,179000
988,20000,80400,0.24,1215,0,0,1,1,0,3,3,1,66.9,0,0,1,103096
989,26000,132100,0.17,1424,0,120,2,1,0,3,4,1,9.5,480,0,0,143155
990,34800,145900,0.24,1350,416,120,3,1,1,3,3,1,8.5,560,0,0,178341
991,59600,132100,0.4,1695,0,0,1,0,0,3,3,1,60.2,268,0,0,176700
992,20200,97500,0.19,888,0,0,1,0,0,2,3,1,45.7,0,0,1,123393
993,33400,92900,0.45,1224,400,416,1,1,1,2,4,1,69.4,0,0,1,143088
994,27200,63500,0.19,906,120,0,1,0,0,3,2,1,88.5,357,0,1,118325
995,5400,57200,0.12,1180,0,0,2,0,0,2,3,1,96.2,0,0,1,85000
996,21300,93000,0.17,960,400,128,1,0,0,3,2,1,49.4,0,0,1,118707
997,16500,78500,0.16,1156,0,168,1,0,0,3,2,1,90.7,0,0,1,112306
998,6800,97200,0.24,1300,0,0,1,1,0,4,3,1,2.6,0,0,0,108932
999,24300,103200,0.17,903,220,49,1,0,0,2,5,1,44.4,0,0,1,119280
1000,29300,121600,0.23,1114,0,0,1,0,0,3,3,1,47.4,0,0,1,128726
1001,9200,106700,0.17,1087,0,120,2,0,0,3,2,1,1.3,240,0,0,133593
1002,24700,120200,0.57,1179,0,0,1,0,0,3,2,1,45.9,0,0,1,145317
1003,19400,110800,0.18,1216,0,24,1,0,0,3,2,1,46.2,0,0,1,119900
1004,22500,106800,0.15,1080,0,0,1,0,0,3,2,1,58.4,0,0,1,127772
1005,23900,77500,0.24,1248,0,48,1,0,0,3,3,1,94.5,0,0,1,114413
1006,26400,126500,0.18,1361,0,128,2,1,0,3,3,1,13.3,480,0,0,129776
1007,28200,139400,0.24,1395,0,0,1,0,0,3,3,1,56.9,440,0,1,185082
1008,21200,62800,0.18,1030,0,192,1,0,0,3,1,0,60.6,0,0,0,57744
1009,29900,116400,0.19,1332,100,120,1,0,0,3,3,1,63.1,0,0,1,136000
1010,27000,99100,0.16,1064,0,108,1,0,1,2,3,1,94,0,0,1,115861
1011,9300,51900,0.28,1246,0,0,1,0,0,3,4,1,123,0,0,0,49093
1012,21500,98000,0.22,1034,0,148,1,0,0,3,2,1,7.4,0,0,0,117133
1013,26000,116000,0.18,969,494,0,1,1,1,3,2,1,44,0,0,1,138443
1014,41800,209800,0.28,2238,0,0,3,0,0,3,4,1,53.7,441,0,1,253003
1015,18800,57200,0.15,845,0,100,1,0,0,2,2,1,90.4,0,0,1,69659
1016,19800,83400,0.5,876,0,200,1,0,0,2,3,1,50.2,288,0,1,112000
1017,16700,54800,0.15,460,0,0,1,0,0,1,2,1,53.2,0,0,1,51500
1018,18900,97500,0.17,876,0,0,1,0,0,2,2,1,22.8,0,0,0,114780
1019,4400,40800,0.16,716,0,287,1,0,0,2,2,0,43,0,0,1,46000
1020,22400,50800,0.32,736,0,0,1,0,0,2,3,1,88.7,0,0,1,74710
1021,95100,275700,1.69,2559,700,702,4,0,2,4,4,1,20.7,0,0,1,361502
1022,14800,63800,0.16,887,0,0,1,0,0,2,2,1,66.4,0,0,1,99241
1023,18500,55900,0.15,816,0,0,1,0,0,2,2,1,84.3,0,0,0,88458
1024,24700,117800,0.32,1380,0,0,1,1,0,3,2,1,48.7,440,0,1,163784
1025,25400,67900,0.17,864,0,0,1,0,0,3,2,1,54.8,0,0,0,121752
1026,11500,124400,0.15,1094,0,155,2,0,0,3,2,1,1.3,0,0,0,138173
1027,19800,85800,0.13,995,0,0,1,0,1,2,2,1,67.7,0,0,1,120983
1028,27500,121700,0.17,1568,0,0,1,0,1,3,4,0,89,0,0,1,149244
1029,15300,63000,0.15,768,0,0,1,0,0,2,2,1,84.3,0,0,1,41986
1030,24600,133500,0.16,1497,300,0,2,0,1,4,3,1,77,0,0,1,156903
1031,34000,163800,0.26,1827,0,120,2,1,1,4,4,1,15.2,520,0,0,219000
1032,52500,355900,0.34,2634,460,0,3,1,3,3,4,1,54.5,0,0,1,332581
1033,46500,131000,0.28,1236,0,100,2,0,0,3,2,1,1.3,440,0,0,166991
1034,8300,126900,0.15,1172,0,60,2,0,0,3,2,1,3,400,0,0,121000
1035,18700,45000,0.15,797,0,0,1,0,0,2,2,0,102.4,0,0,0,47712
1036,17300,105400,0.14,1327,0,184,1,0,1,3,2,1,66.5,0,0,1,116417
1037,33600,80100,0.34,1030,0,128,1,0,1,2,4,0,69.1,0,0,1,115000
1038,33900,165200,0.44,1716,0,0,2,1,1,3,3,1,36.5,528,0,1,173671
1039,14500,61500,0.16,1233,0,0,1,0,0,3,3,1,80.5,0,0,0,64888
1040,17300,86700,0.16,1148,0,0,1,0,0,2,3,0,72.7,0,0,1,106040
1041,27300,82100,0.18,912,0,0,1,0,0,3,2,1,47.4,0,0,1,92561
1042,14300,58600,0.18,1129,0,0,1,0,0,3,3,0,108.6,0,0,0,30848
1043,26900,103200,0.17,1582,500,0,1,1,1,4,5,1,88.3,0,0,1,122000
1044,14900,91000,0.19,1080,0,0,2,0,0,3,3,1,54.5,0,0,1,100160
1045,5900,122400,0.16,1391,0,140,1,1,0,4,2,1,2.5,0,0,0,134864
1046,4400,53300,0.16,936,0,112,1,0,0,2,2,0,45.1,0,0,1,78000
1047,17900,58700,0.24,798,0,0,1,0,0,2,2,0,66.7,0,0,1,80591
1048,23700,67800,0.16,672,0,0,1,0,0,2,2,1,58.2,0,0,1,102000
1049,21300,78300,0.17,864,0,312,1,0,0,3,2,1,49.4,0,0,1,112600
1050,26100,78700,0.15,896,220,0,1,0,0,2,3,1,94.4,0,0,1,116417
1051,36600,108700,0.29,1355,0,0,1,0,0,3,2,1,59.8,360,0,1,124697
1052,12900,68200,0.17,912,288,80,1,0,0,3,3,0,40.8,0,0,1,78451
